MANSPACH;68210
MASEVAUX NIEDERBRUCK;68290
MEYENHEIM;68890
MOOSLARGUE;68580
LE HAUT SOULTZBACH;68780
MULHOUSE;68100
MUNTZENHEIM;68320
MUNWILLER;68250
NAMBSHEIM;68740
OBERENTZEN;68127
ORBEY;68370
ORSCHWIHR;68500
PULVERSHEIM;68840
RANSPACH LE BAS;68730
RANTZWILLER;68510
REININGUE;68950
RIMBACH PRES MASEVAUX;68290
RIXHEIM;68170
ROPPENTZWILLER;68480
STE MARIE AUX MINES;68160
SEPPOIS LE BAS;68580
TURCKHEIM;68230
WALDIGHOFEN;68640
WESTHALTEN;68250
WICKERSCHWIHR;68320
WIDENSOLEN;68320
AFFOUX;69170
LES ARDILLATS;69430
BAGNOLS;69620
BEAUJEU;69430
LE BREUIL;69620
BRINDAS;69126
BRUSSIEU;69690
BULLY;69210
ACY;2200
AMIGNY ROUY;2700
ANGUILCOURT LE SART;2800
ARCHON;2360
ARMENTIERES SUR OURCQ;2210
AUBENCHEUL AUX BOIS;2420
AUBIGNY AUX KAISNES;2590
AUGY;2220
LES AUTELS;2360
BAGNEUX;2290
BARENTON BUGNY;2000
BARZY SUR MARNE;2850
BEAUME;2500
BECQUIGNY;2110
BELLENGLISE;2420
BERLISE;2340
BERNY RIVIERE;2290
BERRIEUX;2820
BERTRICOURT;2190
BETHANCOURT EN VAUX;2300
BEUVARDES;2130
BILLY SUR AISNE;2200
BOIS LES PARGNY;2270
BONNESVALYN;2400
BOURG ET COMIN;2160
BRAINE;2220
BRENELLE;2220
BUCY LE LONG;2880
BUCY LES CERNY;2870
BURELLES;2140
CAILLOUEL CREPIGNY;2300
CAMELIN;2300
CAMELIN;2300
CAULAINCOURT;2490
CELLES LES CONDE;2330
CERNY LES BUCY;2870
CHARMES;2800
CHASSEMY;2370
CHAUDARDES;2160
CHAUNY;2300
CHAVIGNON;2000
CHEVREGNY;2000
CHIGNY;2120
CLERMONT LES FERMES;2340
COINGT;2360
CONDE EN BRIE;2330
CONDE SUR SUIPPE;2190
CONDREN;2700
CONNIGIS;2330
COURTRIZY ET FUSSIGNY;2820
LA CROIX SUR OURCQ;2210
CROUY;2880
CUIRY LES CHAUDARDES;2160
CUTRY;2600
DORENGT;2450
EPPES;2840
ERLON;2250
ETAVES ET BOCQUIAUX;2110
ETREAUPONT;2580
LA FERTE CHEVRESIS;2270
FIEULAINE;2110
FONTAINE LES CLERCS;2680
FONTENELLE;2170
FONTENOY;2290
FRESSANCOURT;2800
GERCY;2140
GERMAINE;2590
GOUY;2420
GRISOLLES;2210
GRONARD;2140
HARAMONT;2600
HARCIGNY;2140
HARLY;2100
HAUTEVILLE;2120
IVIERS;2360
LAFFAUX;2880
LAIGNY;2140
LANDRICOURT;2380
LAPPION;2150
LAVAL EN LAONNOIS;2860
LESGES;2220
LEURY;2880
LEUZE;2500
LIEZ;2700
LIME;2220
LUGNY;2140
MARCY;2720
MESBRECOURT RICHECOURT;2270
MEZY MOULINS;2650
MOLAIN;2110
MONCEAU LES LEUPS;2270
MOULINS;2160
NAMPTEUIL SOUS MURET;2200
ST BONNET DE FOUR;3390
ST DESIRE;3370
ST ENNEMOND;3400
ST GERMAIN DES FOSSES;3260
ST HILAIRE;3440
ST LEGER SUR VOUZANCE;3130
ST LEOPARDIN D AUGY;3160
CHOUX;39370
COUSANCE;39190
CRANS;39300
DENEZIERES;39130
DESNES;39140
ECLANS NENON;39700
VAL D EPY;39160
PICARREAU;39800
RAHON;39120
LES ROUSSES;39400
ST CLAUDE;39200
ST CLAUDE;39200
SAPOIS;39300
SARROGNA;39270
SARROGNA;39270
SOUCIA;39130
THESY;39110
VERCIA;39190
VERIA;39160
VERS SOUS SELLIERES;39230
VINCENT FROIDEVILLE;39230
VOITEUR;39210
VOSBLES;39240
ARESCHES;39110
ARSAGUE;40330
ARUE;40120
BRASSEMPOUY;40330
CAGNOTTE;40300
CARCARES STE CROIX;40400
CARCEN PONSON;40400
CAUNEILLE;40300
CAZERES SUR L ADOUR;40270
ESTIGARDE;40240
GARREY;40180
GASTES;40160
GELOUX;40090
HINX;40180
JOSSE;40230
LABATUT;40300
LUBBON;40240
MAGESCQ;40140
MANO;40410
MANT;40700
MARPAPS;40330
MONSEGUR;40700
MONTSOUE;40500
MUGRON;40250
NARROSSE;40180
PAYROS CAZAUTETS;40320
PHILONDENX;40320
PONTONX SUR L ADOUR;40465
VIELPRAT;43490
VILLENEUVE D ALLIER;43380
BATZ SUR MER;44740
LA BERNERIE EN RETZ;44760
BESNE;44160
LE BIGNON;44140
BLAIN;44130
LA BOISSIERE DU DORE;44430
BOUGUENAIS;44340
BOUGUENAIS;44340
VILLENEUVE EN RETZ;44580
MONNIERES;44690
PIERRIC;44290
PLESSE;44630
PONT ST MARTIN;44860
PONT ST MARTIN;44860
POUILLE LES COTEAUX;44522
ROUGE;44660
SAFFRE;44390
VAIR SUR LOIRE;44150
ST JULIEN DE VOUVANTES;44670
ST SULPICE DES LANDES;44540
LA TURBALLE;44420
LOIREAUXENCE;44370
VERTOU;44120
VIEILLEVIGNE;44116
LA ROCHE BLANCHE;44522
ANDONVILLE;45480
ARDON;45160
BEAUCHAMPS SUR HUILLARD;45270
BOISCOMMUN;45340
BONNEE;45460
BRETEAU;45250
BRIARRES SUR ESSONNE;45390
CEPOY;45120
CESARVILLE DOSSAINVILLE;45300
CHAMBON LA FORET;45340
CHANTEAU;45400
CHANTECOQ;45320
COURTEMAUX;45320
CROTTES EN PITHIVERAIS;45170
DONNERY;45450
DORDIVES;45680
ECHILLEUSES;45390
ENGENVILLE;45300
ESTOUY;45300
